"chrom" "chromStart" "chromEnd" "Type" "Site" "Start.37" "End.37"
"42" "chr5" 130372102 135372101 "Common" "FRA5C" 130372102 135372101
"43" "chr5" 167467423 180857866 "Rare" "FRA5G" 167467423 180857866
"44" "chr6" 4155002 7055001 "Common" "FRA6B" 4155002 7055001
"45" "chr6" 13392022 15392021 "Rare" "FRA6A" 13392022 15392021
"46" "chr6" 23392022 25992021 "Common" "FRA6C" 23392022 25992021
"47" "chr6" 25992022 33492022 "Common" "FRA6H" 25992022 33492022
"48" "chr6" 69943280 75843280 "Common" "FRA6D" 69943280 75843280
"49" "chr6" 87443282 92043279 "Common" "FRA6G" 87443282 92043279
"50" "chr6" 104693308 113793307 "Common" "FRA6F" 104693308 113793307
"51" "chr6" 160980011 164480010 "Common" "FRA6E" 160980011 164480010
"52" "chr7" 1 7233475 "Common" "FRA7B" 1 7233475
"53" "chr7" 31833476 43333475 "Common" "FRA7C" 31833476 43333475
"54" "chr7" 43333476 46633475 "Common" "FRA7D" 43333476 46633475
"55" "chr7" 53932507 57396058 "Rare" "FRA7A" 53932507 57396058
"56" "chr7" 59100001 77562064 "Common" "FRA7J" 59100001 77562064
"57" "chr7" 91062065 92762064 "Common" "FRA7E" 91062065 92762064
"58" "chr7" 98062065 107412764 "Common" "FRA7F" 98062065 107412764
"59" "chr7" 107412765 114612764 "Common" "FRA7K" 107412765 114612764
"60" "chr7" 114612765 117412764 "Common" "FRA7G" 114612765 117412764
"61" "chr7" 130449461 132749460 "Common" "FRA7H" 130449461 132749460
"62" "chr7" 147869068 159128663 "Common" "FRA7I" 147869068 159128663
"63" "chr8" 65937447 73837446 "rare" "FRA8F" 65937447 73837446
"64" "chr8" 93430825 99030824 "Common" "FRA8B" 93430825 99030824
"65" "chr8" 101530825 106030824 "Rare" "FRA8A" 101530825 106030824
"66" "chr8" 117630820 127230818 "Common" "FRA8C" 117630820 127230818
"67" "chr8" 117630820 127230818 "Rare" "FRA8E" 117630820 127230818
"68" "chr8" 139930819 146304022 "Common" "FRA8D" 139930819 146304022
"69" "chr9" 16610001 18510000 "Common" "FRA9G" 16610001 18510000
"70" "chr9" 19910001 32810000 "Rare" "FRA9A" 19910001 32810000
"71" "chr9" 19910001 32810000 "Common" "FRA9C" 19910001 32810000
"72" "chr9" 60300001 70000000 "Common" "FRA9F" 60300001 70000000
"73" "chr9" 90410181 91810180 "Common" "FRA9D" 90410181 91810180
"74" "chr9" 114860180 117660179 "Common" "FRA9E" 114860180 117660179
"75" "chr9" 114860180 117660179 "Rare" "FRA9B" 114860180 117660179
"76" "chr10" 42779995 53629994 "Common" "FRA10G" 42779995 53629994
"77" "chr10" 53629995 71629994 "Common" "FRA10C" 53629995 71629994
"78" "chr10" 71629995 74929994 "Common" "FRA10D" 71629995 74929994
"79" "chr10" 89610021 98010010 "Rare" "FRA10A" 89610021 98010010
"80" "chr10" 111810011 114910010 "Common" "FRA10E" 111810011 114910010
"81" "chr10" 111810011 114910010 "Rare" "FRA10B" 111810011 114910010
"82" "chr10" 119110011 127410010 "Common" "FRA10F" 119110011 127410010
"83" "chr11" 16143425 21643424 "Common" "FRA11C" 16143425 21643424
"84" "chr11" 16143425 21643424 "Rare" "FRA11I" 16143425 21643424
"85" "chr11" 26043425 27243424 "Common" "FRA11D" 26043425 27243424
"86" "chr11" 31043425 36443424 "Common" "FRA11E" 31043425 36443424
"87" "chr11" 63343425 77022352 "Common" "FRA11H" 63343425 77022352
"88" "chr11" 69490820 71022352 "Rare" "FRA11A" 69490820 71022352
"89" "chr11" 85622353 88260352 "Common" "FRA11F" 85622353 88260352
"90" "chr11" 115894791 121194790 "Common" "FRA11G" 115894791 121194790
"91" "chr11" 115894791 121194790 "Rare" "FRA11B" 115894791 121194790
"92" "chr12" 46313734 54813733 "Rare" "FRA12A" 46313734 54813733
"93" "chr12" 80175870 92675869 "Common" "FRA12B" 80175870 92675869
"94" "chr12" 108975872 132349534 "Common" "FRA12E" 108975872 132349534
"95" "chr12" 112315618 114315617 "Rare" "FRA12D" 112315618 114315617
"96" "chr12" 114315618 120615617 "Rare" "FRA12C" 114315618 120615617
"97" "chr13" 34002001 35802000 "Common" "FRA13A" 34002001 35802000
"98" "chr13" 53302000 73201999 "Common" "FRA13B" 53302000 73201999
"99" "chr13" 58702000 61601999 "Common" "FRA13C" 58702000 61601999
"100" "chr13" 73202000 77101999 "Common" "FRA13E" 73202000 77101999
"101" "chr13" 95002000 101701999 "Common" "FRA13D" 95002000 101701999
"102" "chr14" 56730248 67930247 "Common" "FRA14B" 56730248 67930247
"103" "chr14" 67930248 70230247 "Common" "FRA14C" 67930248 70230247
"104" "chr15" 58012709 67512946 "Common" "FRA15A" 58012709 67512946
"105" "chr16" 14792500 16792499 "Rare" "FRA16A" 14792500 16792499
"106" "chr16" 21792500 27692499 "Rare" "FRA16E" 21792500 27692499
"107" "chr16" 66642500 70842499 "Common" "FRA16C" 66642500 70842499
"108" "chr16" 66642500 70842499 "Rare" "FRA16B" 66642500 70842499
"109" "chr16" 79642500 81942499 "Common" "FRA16D" 79642500 81942499
"110" "chr17" 11259276 15959275 "Rare" "FRA17A" 11259276 15959275
"111" "chr17" 57545219 58245218 "Common" "FRA17B" 57545219 58245218
"112" "chr18" 32746003 37246002 "Common" "FRA18A" 32746003 37246002
"113" "chr18" 53849003 61649020 "Common" "FRA18B" 53849003 61649020
"114" "chr18" 61649021 66749020 "Rare" "FRA18C" 61649021 66749020
"115" "chr18" 66749021 68749020 "Common" "FRA18C" 66749021 68749020
"116" "chr19" 32408161 63811651 "Common" "FRA19A" 32408161 63811651
"117" "chr19" 32408161 63811651 "Rare" "FRA19B" 32408161 63811651
"118" "chr20" 9052001 11952000 "Common" "FRA20B" 9052001 11952000
"119" "chr20" 17852001 21252000 "Rare" "FRA20A" 17852001 21252000
"120" "chr22" 29570001 32170000 "Common" "FRA22B" 29570001 32170000
"121" "chr22" 37570055 49691432 "Rare" "FRA22A" 37570055 49691432
"122" "chrX" 5990001 9540000 "Common" "FRAXB" 5990001 9540000
"123" "chrX" 98313345 102613344 "Common" "FRAXC" 98313345 102613344
"124" "chrX" 140272335 142072334 "Common" "FRAXD" 140272335 142072334
"125" "chrX" 142072335 147092308 "Rare" "FRAXA" 142072335 147092308
"126" "chrX" 147092309 155260560 "Rare" "FRAXE" 147092309 155260560
"127" "chrX" 147092309 155260560 "Rare" "FRAXF" 147092309 155260560
