"chr" "chromStart" "chromEnd" "hgnc_symbol" "ensembl_gene_id" "strand"
"145" "chr1" 11539223 11597641 "PTCHD2" "ENSG00000204624" 1
"146" "chr1" 11708424 11715842 "FBXO2" "ENSG00000116661" -1
"147" "chr1" 11714432 11723384 "FBXO44" "ENSG00000132879" 1
"148" "chr1" 11724181 11734411 "FBXO6" "ENSG00000116663" 1
"149" "chr1" 11734537 11751707 "MAD2L2" "ENSG00000116670" -1
"150" "chr1" 11751786 11785914 "DRAXIN" "ENSG00000162490" 1
"152" "chr1" 11821844 11849642 "C1orf167" "ENSG00000215910" 1
"153" "chr1" 11845780 11866977 "MTHFR" "ENSG00000177000" -1
"154" "chr1" 11866207 11903201 "CLCN6" "ENSG00000011021" 1
"155" "chr1" 11905766 11908402 "NPPA" "ENSG00000175206" -1
"156" "chr1" 11917521 11918988 "NPPB" "ENSG00000120937" -1
"157" "chr1" 11979648 11986485 "KIAA2013" "ENSG00000116685" -1
"160" "chr1" 12079523 12092102 "MIIP" "ENSG00000116691" 1
"161" "chr1" 12123434 12204264 "TNFRSF8" "ENSG00000120949" 1
"162" "chr1" 12227060 12269285 "TNFRSF1B" "ENSG00000028137" 1
"165" "chr1" 12704566 12727097 "AADACL4" "ENSG00000204518" 1
"166" "chr1" 12776118 12788726 "AADACL3" "ENSG00000188984" 1
"167" "chr1" 12806163 12823847 "C1orf158" "ENSG00000157330" 1
"168" "chr1" 12834984 12838049 "PRAMEF12" "ENSG00000116726" 1
"169" "chr1" 12851546 12856777 "PRAMEF1" "ENSG00000116721" 1
"170" "chr1" 12884468 12891264 "PRAMEF11" "ENSG00000204513" -1
"171" "chr1" 12907261 12908578 "HNRNPCL1" "ENSG00000179172" -1
"172" "chr1" 12916941 12921764 "PRAMEF2" "ENSG00000120952" 1
"173" "chr1" 12939045 12946025 "PRAMEF4" "ENSG00000243073" -1
"174" "chr1" 12952727 12958101 "PRAMEF10" "ENSG00000187545" -1
"175" "chr1" 12976450 12980569 "PRAMEF7" "ENSG00000204510" 1
"176" "chr1" 12998181 13117751 "PRAMEF6" "ENSG00000232423" -1
"177" "chr1" 13035543 13038381 "PRAMEF22" "ENSG00000204508" 1
"178" "chr1" 13328196 13331692 "PRAMEF3" "ENSG00000204503" -1
"179" "chr1" 13359819 13369057 "PRAMEF5" "ENSG00000204502" 1
"180" "chr1" 13386646 13390765 "PRAMEF8" "ENSG00000182330" -1
"181" "chr1" 13421176 13428191 "PRAMEF9" "ENSG00000204501" 1
"182" "chr1" 13447414 13452656 "PRAMEF13" "ENSG00000204495" -1
"183" "chr1" 13474689 13477522 "PRAMEF18" "ENSG00000204491" -1
"184" "chr1" 13495254 13498260 "PRAMEF16" "ENSG00000204488" 1
"185" "chr1" 13516066 13526943 "PRAMEF21" "ENSG00000204486" 1
"186" "chr1" 13641973 13648988 "PRAMEF15" "ENSG00000157358" 1
"187" "chr1" 13668269 13673511 "PRAMEF14" "ENSG00000204481" -1
"188" "chr1" 13694889 13698405 "PRAMEF19" "ENSG00000204480" -1
"189" "chr1" 13716092 13719089 "PRAMEF17" "ENSG00000204479" 1
"190" "chr1" 13736907 13747803 "PRAMEF20" "ENSG00000204478" 1
"191" "chr1" 13801445 13840543 "LRRC38" "ENSG00000162494" -1
"194" "chr1" 14925200 15444539 "KAZN" "ENSG00000189337" 1
"195" "chr1" 15479028 15546976 "TMEM51" "ENSG00000171729" 1
"196" "chr1" 15490840 15497813 "C1orf195" "ENSG00000204464" -1
"197" "chr1" 15573768 15726779 "FHAD1" "ENSG00000142621" 1
"198" "chr1" 15736391 15756839 "EFHD2" "ENSG00000142634" 1
"199" "chr1" 15764935 15775737 "CTRC" "ENSG00000162438" 1
"200" "chr1" 15783223 15798586 "CELA2A" "ENSG00000142615" 1
"201" "chr1" 15792404 15817895 "CELA2B" "ENSG00000215704" 1
"202" "chr1" 15817327 15853029 "CASP9" "ENSG00000132906" -1
"204" "chr1" 15898848 15911605 "AGMAT" "ENSG00000116771" -1
"206" "chr1" 15986364 15988217 "RSC1A1" "ENSG00000215695" 1
"207" "chr1" 16010827 16061264 "PLEKHM2" "ENSG00000116786" 1
"208" "chr1" 16062900 16067891 "SLC25A34" "ENSG00000162461" 1
"211" "chr1" 16268364 16302627 "ZBTB17" "ENSG00000116809" -1
"212" "chr1" 16330731 16335302 "C1orf64" "ENSG00000183888" 1
"213" "chr1" 16340523 16346089 "HSPB7" "ENSG00000173641" -1
"214" "chr1" 16345370 16360545 "CLCNKA" "ENSG00000186510" 1
"215" "chr1" 16370272 16383803 "CLCNKB" "ENSG00000184908" 1
"216" "chr1" 16384264 16400127 "FAM131C" "ENSG00000185519" -1
"217" "chr1" 16450832 16482582 "EPHA2" "ENSG00000142627" -1
"218" "chr1" 16524349 16539104 "ARHGEF19" "ENSG00000142632" -1
"219" "chr1" 16555368 16556038 "C1orf134" "ENSG00000204377" -1
"220" "chr1" 16558195 16563657 "RSG1" "ENSG00000132881" -1
"221" "chr1" 16573334 16678949 "FBXO42" "ENSG00000037637" -1
"223" "chr1" 16713612 16763919 "SPATA21" "ENSG00000187144" -1
"227" "chr1" 16999498 17000007 "FAM231A" "ENSG00000237847" 1
"229" "chr1" 17066768 17299474 "CROCC" "ENSG00000058453" 1
"233" "chr1" 17393256 17445948 "PADI2" "ENSG00000117115" -1
"234" "chr1" 17531621 17572500 "PADI1" "ENSG00000142623" 1
"235" "chr1" 17575593 17610728 "PADI3" "ENSG00000142619" 1
"236" "chr1" 17634690 17690499 "PADI4" "ENSG00000159339" 1
"238" "chr1" 17866330 18024369 "ARHGEF10L" "ENSG00000074964" 1
"239" "chr1" 18081808 18153558 "ACTL8" "ENSG00000117148" 1
"240" "chr1" 18434240 18704977 "IGSF21" "ENSG00000117154" 1
"241" "chr1" 18807424 18812478 "KLHDC7A" "ENSG00000179023" 1
"242" "chr1" 18957500 19075360 "PAX7" "ENSG00000009709" 1
"243" "chr1" 19166093 19186176 "TAS1R2" "ENSG00000179002" -1
"244" "chr1" 19197926 19229275 "ALDH4A1" "ENSG00000159423" -1
"245" "chr1" 19230775 19283180 "IFFO2" "ENSG00000169991" -1
"248" "chr1" 19578033 19586622 "MRTO4" "ENSG00000053372" 1
"249" "chr1" 19609052 19615744 "AKR7A3" "ENSG00000162482" -1
"251" "chr1" 19638820 19655794 "PQLC2" "ENSG00000040487" 1
"256" "chr1" 19991780 20006055 "HTR6" "ENSG00000158748" 1
"257" "chr1" 20008706 20126438 "TMCO4" "ENSG00000162542" -1
"258" "chr1" 20140523 20141771 "RNF186" "ENSG00000178828" -1
"259" "chr1" 20209006 20239438 "OTUD3" "ENSG00000169914" 1
"260" "chr1" 20246502 20250110 "PLA2G2E" "ENSG00000188784" -1
"261" "chr1" 20301925 20306932 "PLA2G2A" "ENSG00000188257" -1
"262" "chr1" 20354672 20417683 "PLA2G5" "ENSG00000127472" 1
"263" "chr1" 20438432 20446050 "PLA2G2D" "ENSG00000117215" -1
"264" "chr1" 20465819 20476879 "PLA2G2F" "ENSG00000158786" 1
"265" "chr1" 20487746 20503917 "PLA2G2C" "ENSG00000187980" -1
"266" "chr1" 20512578 20522541 "UBXN10" "ENSG00000162543" 1
"267" "chr1" 20617412 20681387 "VWA5B1" "ENSG00000158816" 1
"268" "chr1" 20808884 20812713 "CAMK2N1" "ENSG00000162545" -1
"269" "chr1" 20825943 20834654 "MUL1" "ENSG00000090432" -1
"270" "chr1" 20878932 20881512 "FAM43B" "ENSG00000183114" 1
"271" "chr1" 20915441 20945401 "CDA" "ENSG00000158825" 1
"274" "chr1" 20990507 21044510 "KIF17" "ENSG00000117245" -1
"275" "chr1" 21046225 21059330 "SH2D5" "ENSG00000189410" -1
"279" "chr1" 21766621 21811498 "NBPF3" "ENSG00000142794" 1
"280" "chr1" 21835858 21904905 "ALPL" "ENSG00000162551" 1
"281" "chr1" 21922708 21995801 "RAP1GAP" "ENSG00000076864" -1
"283" "chr1" 22138758 22151714 "LDLRAD2" "ENSG00000187942" 1
"285" "chr1" 22303514 22325135 "CELA3B" "ENSG00000219073" 1
"286" "chr1" 22328149 22339032 "CELA3A" "ENSG00000142789" 1
"288" "chr1" 22443798 22470462 "WNT4" "ENSG00000162552" -1
"289" "chr1" 22778344 22857650 "ZBTB40" "ENSG00000184677" 1
"290" "chr1" 22890057 22930087 "EPHA8" "ENSG00000070886" 1
"294" "chr1" 23037332 23241818 "EPHB2" "ENSG00000133216" 1
"295" "chr1" 23279536 23291831 "LACTBL1" "ENSG00000215906" -1
"298" "chr1" 23516993 23521222 "HTR1D" "ENSG00000179546" -1
"301" "chr1" 23695490 23698332 "C1orf213" "ENSG00000249087" 1
"303" "chr1" 23755056 23811061 "ASAP3" "ENSG00000088280" -1
"304" "chr1" 23832922 23857712 "E2F2" "ENSG00000007968" -1
"305" "chr1" 23884409 23886285 "ID3" "ENSG00000117318" -1
"306" "chr1" 23907985 23967058 "MDS2" "ENSG00000197880" 1
"310" "chr1" 24117460 24122029 "LYPLA2" "ENSG00000011009" 1
"314" "chr1" 24197016 24285549 "CNR2" "ENSG00000188822" -1
"317" "chr1" 24382525 24438665 "MYOM3" "ENSG00000142661" -1
"318" "chr1" 24446261 24469611 "IL22RA1" "ENSG00000142677" -1
"319" "chr1" 24480647 24514449 "IFNLR1" "ENSG00000185436" -1
"320" "chr1" 24645812 24690972 "GRHL3" "ENSG00000158055" 1
"321" "chr1" 24683489 24743424 "STPG1" "ENSG00000001460" -1
"322" "chr1" 24742284 24799466 "NIPAL3" "ENSG00000001461" 1
"323" "chr1" 24829387 24867530 "RCAN3" "ENSG00000117602" 1
"324" "chr1" 24882602 24935819 "NCMAP" "ENSG00000184454" 1
"327" "chr1" 25226002 25291612 "RUNX3" "ENSG00000020633" -1
"330" "chr1" 25598884 25656936 "RHD" "ENSG00000187010" 1
"332" "chr1" 25688740 25756683 "RHCE" "ENSG00000188672" -1
"334" "chr1" 25870071 25895377 "LDLRAP1" "ENSG00000157978" 1
"335" "chr1" 25943959 26112698 "MAN1C1" "ENSG00000117643" 1
"338" "chr1" 26158414 26185903 "AUNIP" "ENSG00000127423" -1
"339" "chr1" 26187701 26197744 "PAQR7" "ENSG00000182749" -1
"342" "chr1" 26346375 26362955 "EXTL1" "ENSG00000158008" 1
"343" "chr1" 26363743 26372624 "SLC30A2" "ENSG00000158014" -1
"344" "chr1" 26377795 26394927 "TRIM63" "ENSG00000158022" -1
"345" "chr1" 26437664 26452034 "PDIK1L" "ENSG00000175087" 1
"346" "chr1" 26485511 26489119 "FAM110D" "ENSG00000197245" 1
"347" "chr1" 26496362 26498551 "ZNF593" "ENSG00000142684" 1
"348" "chr1" 26503894 26516377 "CNKSR1" "ENSG00000142675" 1
"349" "chr1" 26517052 26529459 "CATSPER4" "ENSG00000188782" 1
"350" "chr1" 26560691 26605299 "CEP85" "ENSG00000130695" 1
"354" "chr1" 26648350 26680621 "AIM1L" "ENSG00000176092" -1
"355" "chr1" 26688125 26701013 "ZNF683" "ENSG00000176083" -1
"356" "chr1" 26737269 26756213 "LIN28A" "ENSG00000131914" 1
"361" "chr1" 27113963 27124889 "PIGV" "ENSG00000060642" 1
"362" "chr1" 27153201 27184093 "ZDHHC18" "ENSG00000204160" 1
"363" "chr1" 27189633 27190947 "SFN" "ENSG00000175793" 1
"364" "chr1" 27202624 27216788 "GPN2" "ENSG00000142751" -1
"365" "chr1" 27216979 27226957 "GPATCH3" "ENSG00000198746" -1
"367" "chr1" 27237980 27240457 "NR0B2" "ENSG00000131910" -1
"368" "chr1" 27276053 27286897 "C1orf172" "ENSG00000175707" -1
"370" "chr1" 27331511 27339327 "FAM46B" "ENSG00000158246" -1
"374" "chr1" 27668513 27680421 "SYTL1" "ENSG00000142765" 1
"375" "chr1" 27681675 27693383 "MAP3K6" "ENSG00000142733" -1
"376" "chr1" 27695603 27701315 "FCN3" "ENSG00000142748" -1
"377" "chr1" 27705666 27709870 "CD164L2" "ENSG00000174950" -1
"378" "chr1" 27719148 27722318 "GPR3" "ENSG00000181773" 1
"380" "chr1" 27860546 27930942 "AHDC1" "ENSG00000126705" -1
"381" "chr1" 27938575 27961788 "FGR" "ENSG00000000938" -1
"383" "chr1" 28052490 28089633 "FAM76A" "ENSG00000009780" 1
"387" "chr1" 28199055 28213196 "THEMIS2" "ENSG00000130775" 1
"389" "chr1" 28261504 28285668 "SMPDL3B" "ENSG00000130768" 1
"390" "chr1" 28285973 28294607 "XKR8" "ENSG00000158156" 1
"392" "chr1" 28473677 28520447 "PTAFR" "ENSG00000169403" -1
"395" "chr1" 28586038 28609002 "SESN2" "ENSG00000130766" 1
"401" "chr1" 28918712 28921955 "RAB42" "ENSG00000188060" 1
"402" "chr1" 28995244 29045865 "GMEB1" "ENSG00000162419" 1
"404" "chr1" 29138654 29190208 "OPRD1" "ENSG00000116329" 1
"409" "chr1" 29563028 29653325 "PTPRU" "ENSG00000060656" 1
"410" "chr1" 31184124 31196434 "MATN1" "ENSG00000162510" -1
"412" "chr1" 31342314 31381608 "SDC3" "ENSG00000162512" -1
"414" "chr1" 31652592 31712401 "NKAIN1" "ENSG00000084628" -1
"417" "chr1" 31838472 31849697 "FABP3" "ENSG00000121769" -1
"419" "chr1" 32042116 32053288 "TINAGL1" "ENSG00000142910" 1
"420" "chr1" 32083287 32098119 "HCRTR1" "ENSG00000121764" 1
"423" "chr1" 32192718 32230494 "BAI2" "ENSG00000121753" -1
"424" "chr1" 32256023 32281652 "SPOCD1" "ENSG00000134668" -1
"426" "chr1" 32379174 32380745 "AL136115.1" "ENSG00000212673" 1
"428" "chr1" 32537632 32568467 "TMEM39B" "ENSG00000121775" 1
"431" "chr1" 32665987 32670988 "CCDC28B" "ENSG00000160050" 1
"432" "chr1" 32671236 32674288 "IQCC" "ENSG00000160051" 1
"433" "chr1" 32674695 32681797 "DCDC2B" "ENSG00000222046" 1
"434" "chr1" 32680073 32687972 "TMEM234" "ENSG00000160055" -1
"436" "chr1" 32712834 32714457 "FAM167B" "ENSG00000183615" 1
"437" "chr1" 32716840 32751766 "LCK" "ENSG00000182866" 1
"440" "chr1" 32817122 32829913 "TSSK3" "ENSG00000162526" 1
"441" "chr1" 32826871 32829879 "FAM229A" "ENSG00000225828" -1
"444" "chr1" 33005028 33071540 "ZBTB8A" "ENSG00000160062" 1
"447" "chr1" 33145507 33169197 "SYNC" "ENSG00000162520" -1
"451" "chr1" 33327869 33338083 "FNDC5" "ENSG00000160097" -1
"452" "chr1" 33351595 33364042 "HPCA" "ENSG00000121905" 1
"457" "chr1" 33546705 33586131 "ADC" "ENSG00000142920" 1
"458" "chr1" 33611003 33647660 "TRIM62" "ENSG00000116525" -1
"459" "chr1" 33722146 33766320 "ZNF362" "ENSG00000160094" 1
"460" "chr1" 33772367 33786699 "A3GALT2" "ENSG00000184389" -1
"462" "chr1" 33938246 33962107 "ZSCAN20" "ENSG00000121903" 1
"463" "chr1" 33979609 34631443 "CSMD2" "ENSG00000121904" -1
"464" "chr1" 34326076 34330392 "HMGB4" "ENSG00000176256" 1
"465" "chr1" 34632484 34684732 "C1orf94" "ENSG00000142698" 1
"467" "chr1" 35220648 35224113 "GJB5" "ENSG00000189280" 1
"468" "chr1" 35225342 35229325 "GJB4" "ENSG00000189433" 1
"469" "chr1" 35246790 35251970 "GJB3" "ENSG00000188910" 1
"470" "chr1" 35258599 35261348 "GJA4" "ENSG00000187513" 1
"471" "chr1" 35331037 35395186 "DLGAP3" "ENSG00000116544" -1
"478" "chr1" 36023074 36032875 "NCDN" "ENSG00000020129" 1
"479" "chr1" 36038971 36060929 "TFAP2E" "ENSG00000116819" 1
"481" "chr1" 36179476 36185073 "C1orf216" "ENSG00000142686" -1
"482" "chr1" 36185819 36235568 "CLSPN" "ENSG00000092853" -1
"483" "chr1" 36273773 36323491 "AGO4" "ENSG00000134698" 1
"484" "chr1" 36335409 36395211 "AGO1" "ENSG00000092847" 1
"486" "chr1" 36549676 36553876 "TEKT2" "ENSG00000092850" 1
"487" "chr1" 36554476 36559533 "ADPRHL2" "ENSG00000116863" 1
"488" "chr1" 36560837 36590821 "COL8A2" "ENSG00000171812" -1
"492" "chr1" 36771988 36790484 "SH3D21" "ENSG00000214193" 1
"493" "chr1" 36787632 36789755 "EVA1B" "ENSG00000142694" -1
"494" "chr1" 36805225 36851497 "STK40" "ENSG00000196182" -1
"496" "chr1" 36881428 36916086 "OSCP1" "ENSG00000116885" -1
"498" "chr1" 36931644 36948879 "CSF3R" "ENSG00000119535" -1
"499" "chr1" 37261128 37499730 "GRIK3" "ENSG00000163873" -1
"500" "chr1" 37940153 37949980 "ZC3H12A" "ENSG00000163874" 1
"502" "chr1" 38000050 38019903 "SNIP1" "ENSG00000163877" -1
"505" "chr1" 38076951 38100595 "RSPO1" "ENSG00000169218" -1
"506" "chr1" 38147242 38157914 "C1orf109" "ENSG00000116922" -1
"507" "chr1" 38158090 38175391 "CDCA8" "ENSG00000134690" 1
"508" "chr1" 38179552 38230805 "EPHA10" "ENSG00000183317" -1
"509" "chr1" 38259474 38266809 "MANEAL" "ENSG00000185090" 1
"510" "chr1" 38268616 38273857 "YRDC" "ENSG00000196449" -1
"511" "chr1" 38272651 38275126 "C1orf122" "ENSG00000197982" 1
"512" "chr1" 38275239 38325292 "MTF1" "ENSG00000188786" -1
"515" "chr1" 38462442 38471278 "FHL3" "ENSG00000183386" -1
"517" "chr1" 38509523 38512450 "POU3F1" "ENSG00000185668" -1
"520" "chr1" 39330175 39347289 "GJA9" "ENSG00000131233" -1
"521" "chr1" 39351479 39407471 "RHBDL2" "ENSG00000158315" -1
"525" "chr1" 39957318 39991607 "BMP8A" "ENSG00000183682" 1
"527" "chr1" 40089825 40105617 "HEYL" "ENSG00000163909" -1
"528" "chr1" 40124793 40137710 "NT5C1A" "ENSG00000116981" -1
"529" "chr1" 40144320 40157361 "HPCAL4" "ENSG00000116983" -1
"531" "chr1" 40222854 40254533 "BMP8B" "ENSG00000116985" -1
"532" "chr1" 40235195 40237020 "OXCT2" "ENSG00000198754" -1
"534" "chr1" 40361098 40367928 "MYCL" "ENSG00000116990" -1
"535" "chr1" 40420802 40435638 "MFSD2A" "ENSG00000168389" 1
"539" "chr1" 40711619 40717363 "TMCO2" "ENSG00000188800" 1
"541" "chr1" 40766159 40783488 "COL9A2" "ENSG00000049089" -1
"543" "chr1" 40915774 40929390 "ZFP69B" "ENSG00000187801" 1
"544" "chr1" 40942887 40962015 "ZFP69" "ENSG00000187815" 1
"545" "chr1" 40974413 40982228 "EXO5" "ENSG00000164002" 1
"546" "chr1" 40997233 41013841 "ZNF684" "ENSG00000117010" 1
"547" "chr1" 41086351 41131329 "RIMS3" "ENSG00000117016" -1
"549" "chr1" 41249684 41306124 "KCNQ4" "ENSG00000117013" 1
"550" "chr1" 41326729 41328018 "CITED4" "ENSG00000179862" -1
"552" "chr1" 41481269 41488909 "SLFNL1" "ENSG00000171790" -1
"554" "chr1" 41827594 41849262 "FOXO6" "ENSG00000204060" 1
"555" "chr1" 41944446 41950344 "EDN2" "ENSG00000127129" -1
"557" "chr1" 42619092 42621495 "GUCA2B" "ENSG00000044012" 1
"558" "chr1" 42628362 42630389 "GUCA2A" "ENSG00000197273" -1
"560" "chr1" 42846466 42888249 "RIMKLA" "ENSG00000177181" 1
"561" "chr1" 42896000 42921938 "ZMYND12" "ENSG00000066185" -1
"563" "chr1" 42929001 43120335 "CCDC30" "ENSG00000186409" 1
"566" "chr1" 43198764 43205925 "CLDN19" "ENSG00000164007" -1
"568" "chr1" 43232940 43263968 "C1orf50" "ENSG00000164008" 1
"570" "chr1" 43282795 43310660 "ERMAP" "ENSG00000164010" 1
"571" "chr1" 43312280 43318148 "ZNF691" "ENSG00000164011" 1
"573" "chr1" 43610824 43622067 "FAM183A" "ENSG00000186973" 1
"575" "chr1" 43637820 43720029 "WDR65" "ENSG00000243710" 1
"578" "chr1" 43766664 43788779 "TIE1" "ENSG00000066056" 1
"579" "chr1" 43803478 43818443 "MPL" "ENSG00000117400" 1
"580" "chr1" 43824626 43828874 "CDC20" "ENSG00000117399" 1
"583" "chr1" 43855553 43918321 "SZT2" "ENSG00000198198" 1
"587" "chr1" 44171495 44396831 "ST3GAL3" "ENSG00000126091" 1
"588" "chr1" 44398992 44402913 "ARTN" "ENSG00000117407" 1
"590" "chr1" 44435672 44439041 "DPH2" "ENSG00000132768" 1
